"switch" "arsenic" "dist" "assoc" "educ" "educ4" "use" "status_perceived" "well_shift"
"23" "1" "225" "48.3730010986328" "Yes" "5" "1-8" "Neither" "Unsafe" "No"
"24" "1" "242" "47.3089981079102" "No" "0" "0" "Neither" "Unsafe" "No"
"25" "1" "162" "67.7850036621094" "No" "8" "9-12" "Neither" "Unsafe" "No"
"26" "1" "234" "81.1380004882812" "Yes" "8" "9-12" "Neither" "Unsafe" "No"
"27" "1" "349" "95.4599990844727" "No" "10" "9-12" "Neither" "Unsafe" "No"
"28" "1" "213" "114.417999267578" "No" "16" "12+" "Neither" "Unsafe" "No"
"29" "1" "93" "157.628997802734" "Yes" "10" "9-12" "Neither" "Unsafe" "No"
"30" "1" "336" "151.919998168945" "Yes" "10" "9-12" "Neither" "Don't Know" "No"
"31" "1" "149" "107.69100189209" "No" "10" "9-12" "Neither" "Unsafe" "No"
"32" "1" "83" "105.667999267578" "No" "10" "9-12" "Neither" "Unsafe" "No"
"33" "1" "137" "105.625999450684" "Yes" "0" "0" "Unfrequently" "Unsafe" "No"
"34" "0" "280" "107.69100189209" "No" "0" "0" "Both" "Unsafe" "No"
"35" "0" "81" "107.69100189209" "No" "0" "0" "Both" "Unsafe" "No"
"36" "1" "148" "125.317001342773" "Yes" "3" "1-8" "Neither" "Unsafe" "No"
"37" "0" "192" "107.69100189209" "Yes" "0" "0" "Both" "Unsafe" "No"
"38" "1" "274" "107.69100189209" "No" "10" "9-12" "Neither" "Unsafe" "No"
"39" "1" "249" "107.69100189209" "Yes" "0" "0" "Unfrequently" "Unsafe" "No"
"40" "0" "395" "107.69100189209" "No" "0" "0" "Both" "Unsafe" "No"
"41" "1" "275" "107.69100189209" "No" "0" "0" "Neither" "Unsafe" "No"
"42" "1" "291" "54.5699996948242" "No" "0" "0" "Neither" "Unsafe" "No"
"43" "1" "83" "54.5699996948242" "No" "0" "0" "Unfrequently" "Unsafe" "No"
"44" "1" "367" "54.5699996948242" "Yes" "5" "1-8" "Neither" "Unsafe" "No"
"45" "1" "290" "54.5699996948242" "No" "0" "0" "Neither" "Unsafe" "No"
"46" "1" "78" "54.5699996948242" "Yes" "10" "9-12" "Neither" "Unsafe" "No"
"47" "0" "252" "3.61800003051758" "Yes" "5" "1-8" "Both" "Don't Know" "No"
"48" "1" "248" "58.1669998168945" "No" "0" "0" "Neither" "Unsafe" "No"
"49" "1" "447" "72.3460006713867" "No" "8" "9-12" "Unfrequently" "Unsafe" "No"
"50" "1" "152" "40.318000793457" "No" "0" "0" "Neither" "Unsafe" "No"
"51" "1" "180" "67.2190017700195" "No" "0" "0" "Neither" "Unsafe" "No"
"52" "0" "51" "99.0130004882812" "No" "0" "0" "Both" "Unsafe" "No"
"53" "1" "64" "115.91300201416" "Yes" "0" "0" "Neither" "Unsafe" "No"
"54" "1" "101" "71.7990036010742" "Yes" "5" "1-8" "Neither" "Don't Know" "Yes"
"55" "1" "74" "141.535995483398" "No" "8" "9-12" "Neither" "Unsafe" "No"
"56" "1" "181" "84.6460037231445" "Yes" "0" "0" "Unfrequently" "Don't Know" "No"
"57" "1" "269" "65.931999206543" "No" "0" "0" "Neither" "Unsafe" "No"
"58" "1" "485" "67.9400024414062" "Yes" "0" "0" "Unfrequently" "Unsafe" "No"
"59" "1" "318" "64.697998046875" "No" "6" "9-12" "Neither" "Unsafe" "No"
"60" "1" "506" "62.6349983215332" "Yes" "10" "9-12" "Neither" "Unsafe" "No"
"61" "1" "269" "47.9090003967285" "No" "10" "9-12" "Neither" "Unsafe" "No"
"62" "1" "57" "24.0030002593994" "No" "12" "12+" "Neither" "Unsafe" "No"
"63" "1" "455" "17.9820003509521" "No" "7" "9-12" "Neither" "Unsafe" "No"
"64" "0" "391" "11.1470003128052" "Yes" "6" "9-12" "Both" "Don't Know" "No"
"65" "1" "89" "39.9770011901855" "Yes" "5" "1-8" "Both" "Safe" "Yes"
"66" "0" "100" "69.1309967041016" "No" "0" "0" "Both" "Safe" "No"
"67" "1" "95" "37.6529998779297" "Yes" "0" "0" "Both" "Safe" "Yes"
"68" "1" "355" "32.0709991455078" "Yes" "7" "9-12" "Neither" "Unsafe" "No"
"69" "1" "452" "19.0839996337891" "No" "5" "1-8" "Neither" "Safe" "No"
"70" "1" "476" "23.9120006561279" "No" "0" "0" "Neither" "Safe" "No"
"71" "1" "199" "28.5599994659424" "Yes" "5" "1-8" "Unfrequently" "Unsafe" "No"
"72" "0" "285" "21.9650001525879" "No" "0" "0" "Both" "Unsafe" "No"
"73" "0" "81" "91.0070037841797" "No" "0" "0" "Both" "Don't Know" "No"
"74" "1" "285" "26.5130004882812" "Yes" "8" "9-12" "Neither" "Unsafe" "No"
"75" "1" "218" "23.3239994049072" "No" "3" "1-8" "Neither" "Unsafe" "No"
"76" "1" "423" "31.5919990539551" "No" "5" "1-8" "Neither" "Unsafe" "No"
"77" "1" "192" "31.3239994049072" "Yes" "0" "0" "Neither" "Unsafe" "No"
"78" "1" "163" "38.8489990234375" "No" "8" "9-12" "Neither" "Unsafe" "No"
"79" "1" "545" "9.12600040435791" "Yes" "0" "0" "Neither" "Unsafe" "No"
"80" "0" "157" "19.3819999694824" "No" "8" "9-12" "Both" "Safe" "No"
"81" "1" "194" "12.4610004425049" "No" "8" "9-12" "Neither" "Unsafe" "No"
"82" "1" "158" "14.9370002746582" "No" "0" "0" "Both" "Don't Know" "Yes"
"83" "1" "67" "13.2189998626709" "Yes" "5" "1-8" "Both" "Safe" "No"
"84" "1" "140" "6.82999992370605" "No" "5" "1-8" "Neither" "Unsafe" "No"
"85" "0" "118" "30.4060001373291" "Yes" "3" "1-8" "Both" "Unsafe" "No"
"86" "0" "77" "18.5510005950928" "Yes" "5" "1-8" "Both" "Unsafe" "No"
"87" "0" "77" "24.8290004730225" "No" "0" "0" "Both" "Unsafe" "No"
"88" "1" "144" "28.6709995269775" "No" "12" "12+" "Neither" "Unsafe" "No"
"89" "0" "77" "20.871000289917" "Yes" "5" "1-8" "Unfrequently" "Unsafe" "No"
"90" "1" "77" "20.1200008392334" "Yes" "0" "0" "Both" "Safe" "Yes"
"91" "0" "73" "13.4940004348755" "Yes" "5" "1-8" "Both" "Unsafe" "No"
"92" "1" "190" "19.1919994354248" "No" "0" "0" "Neither" "Unsafe" "No"
"93" "0" "72" "28.6459999084473" "No" "8" "9-12" "Both" "Unsafe" "No"
"94" "0" "88" "16.1660003662109" "No" "0" "0" "Both" "Don't Know" "No"
"95" "0" "104" "27.42799949646" "No" "5" "1-8" "Both" "Unsafe" "No"
"96" "0" "121" "15.83899974823" "Yes" "0" "0" "Both" "Unsafe" "No"
"97" "1" "144" "14.4180002212524" "Yes" "5" "1-8" "Both" "Safe" "Yes"
"98" "0" "64" "29.2779998779297" "Yes" "14" "12+" "Both" "Unsafe" "No"
"99" "0" "80" "43.9440002441406" "Yes" "14" "12+" "Both" "Unsafe" "No"
"100" "1" "193" "20.2299995422363" "No" "0" "0" "Both" "Safe" "Yes"
"101" "0" "56" "50.0919990539551" "No" "5" "1-8" "Both" "Safe" "No"
"102" "0" "132" "66.879997253418" "No" "5" "1-8" "Both" "Unsafe" "No"
"103" "0" "52" "69.4820022583008" "No" "3" "1-8" "Both" "Unsafe" "No"
"104" "0" "119" "48.7080001831055" "Yes" "5" "1-8" "Both" "Unsafe" "No"
"105" "0" "118" "22.6359996795654" "Yes" "12" "12+" "Both" "Unsafe" "No"
"106" "0" "126" "10.1230001449585" "No" "5" "1-8" "Both" "Safe" "No"
"107" "0" "88" "42.8279991149902" "No" "8" "9-12" "Both" "Unsafe" "No"
"108" "0" "316" "21.0890007019043" "No" "5" "1-8" "Both" "Unsafe" "No"
"109" "0" "212" "47.5340003967285" "No" "5" "1-8" "Drinking" "Unsafe" "No"
"110" "1" "76" "15.7119998931885" "No" "5" "1-8" "Both" "Unsafe" "Yes"
"111" "0" "56" "12.1850004196167" "No" "5" "1-8" "Both" "Safe" "No"
"112" "0" "62" "23.5590000152588" "No" "0" "0" "Both" "Safe" "No"
"113" "1" "103" "1.84800004959106" "No" "5" "1-8" "Both" "Safe" "Yes"
"114" "0" "78" "90.9209976196289" "No" "5" "1-8" "Both" "Unsafe" "No"
"115" "0" "102" "93.8280029296875" "Yes" "5" "1-8" "Both" "Unsafe" "No"
"116" "0" "65" "82.1060028076172" "Yes" "9" "9-12" "Drinking" "Unsafe" "No"
"117" "1" "229" "46.9560012817383" "Yes" "3" "1-8" "Neither" "Unsafe" "No"
"118" "1" "160" "24.2099990844727" "Yes" "4" "1-8" "Both" "Safe" "Yes"
"119" "1" "82" "43.2900009155273" "No" "5" "1-8" "Neither" "Unsafe" "No"
"120" "1" "144" "25.1469993591309" "No" "10" "9-12" "Neither" "Unsafe" "No"
"121" "1" "97" "14.6040000915527" "No" "0" "0" "Both" "Safe" "Yes"
"122" "0" "89" "1.40100002288818" "No" "8" "9-12" "Both" "Safe" "No"
"123" "1" "139" "8.21000003814697" "No" "12" "12+" "Unfrequently" "Unsafe" "No"
"124" "1" "83" "18.8680000305176" "No" "0" "0" "Neither" "Unsafe" "No"
"125" "1" "57" "23.4009990692139" "No" "0" "0" "Both" "Unsafe" "No"
"126" "1" "147" "18.5319995880127" "Yes" "9" "9-12" "Neither" "Unsafe" "No"
"127" "1" "111" "36.2869987487793" "No" "10" "9-12" "Neither" "Unsafe" "No"
"128" "1" "238" "40.4980010986328" "No" "12" "12+" "Both" "Don't Know" "Yes"
"129" "0" "397" "90.5709991455078" "No" "0" "0" "Both" "Unsafe" "No"
"130" "1" "351" "115.157997131348" "Yes" "3" "1-8" "Neither" "Unsafe" "No"
"131" "0" "369" "112.762001037598" "Yes" "0" "0" "Both" "Unsafe" "No"
"132" "1" "295" "93.4309997558594" "Yes" "0" "0" "Neither" "Unsafe" "No"
"133" "0" "321" "97.2170028686523" "No" "0" "0" "Both" "Unsafe" "No"
"134" "1" "365" "88.3450012207031" "Yes" "0" "0" "Neither" "Unsafe" "No"
"135" "1" "442" "41.1040000915527" "Yes" "5" "1-8" "Neither" "Unsafe" "No"
"136" "1" "412" "46.2400016784668" "No" "3" "1-8" "Unfrequently" "Unsafe" "No"
"137" "1" "362" "65.3539962768555" "Yes" "3" "1-8" "Neither" "Unsafe" "Yes"
"138" "1" "380" "43.7350006103516" "Yes" "2" "1-8" "Neither" "Unsafe" "No"
"139" "1" "446" "61.5709991455078" "No" "5" "1-8" "Neither" "Unsafe" "No"
"140" "1" "404" "78.4150009155273" "Yes" "0" "0" "Unfrequently" "Unsafe" "No"
"141" "1" "332" "63.5019989013672" "No" "5" "1-8" "Neither" "Unsafe" "No"
"142" "0" "207" "69.2689971923828" "Yes" "5" "1-8" "Both" "Unsafe" "No"
"143" "1" "143" "57.9290008544922" "Yes" "6" "9-12" "Both" "Safe" "Yes"
"144" "1" "230" "85.3870010375977" "No" "5" "1-8" "Both" "Unsafe" "Yes"
"145" "1" "141" "110.609001159668" "No" "5" "1-8" "Neither" "Unsafe" "No"
"146" "1" "234" "111.48999786377" "Yes" "0" "0" "Neither" "Unsafe" "No"
"147" "1" "150" "176.197006225586" "No" "0" "0" "Neither" "Unsafe" "No"
"148" "0" "144" "172.108001708984" "No" "0" "0" "Both" "Unsafe" "No"
"149" "0" "154" "177.802993774414" "No" "0" "0" "Both" "Unsafe" "No"
"150" "1" "135" "22.6709995269775" "Yes" "0" "0" "Neither" "Unsafe" "No"
"151" "1" "54" "27.8810005187988" "Yes" "5" "1-8" "Neither" "Unsafe" "Yes"
"152" "1" "117" "19.2600002288818" "No" "8" "9-12" "Both" "Don't Know" "Yes"
"153" "0" "102" "24.5" "No" "0" "0" "Both" "Unsafe" "No"
"154" "1" "111" "6.63299989700317" "No" "5" "1-8" "Neither" "Unsafe" "No"
"155" "0" "52" "7.04099988937378" "No" "10" "9-12" "Both" "Safe" "No"
"156" "0" "56" "30.3139991760254" "Yes" "8" "9-12" "Both" "Unsafe" "No"
"157" "1" "61" "21.9790000915527" "Yes" "0" "0" "Both" "Don't Know" "Yes"
"158" "1" "217" "10.4580001831055" "Yes" "5" "1-8" "Neither" "Unsafe" "No"
"159" "0" "61" "74.9990005493164" "No" "5" "1-8" "Both" "Unsafe" "No"
"160" "1" "96" "81.9710006713867" "Yes" "3" "1-8" "Both" "Safe" "Yes"
"161" "1" "94" "92.1760025024414" "Yes" "5" "1-8" "Neither" "Unsafe" "No"
"162" "1" "93" "106.608001708984" "Yes" "3" "1-8" "Both" "Don't Know" "Yes"
"163" "0" "102" "103.060997009277" "Yes" "4" "1-8" "Both" "Unsafe" "No"
"164" "0" "124" "86.6050033569336" "No" "0" "0" "Both" "Unsafe" "No"
"165" "0" "142" "110.561996459961" "No" "5" "1-8" "Both" "Unsafe" "No"
"166" "0" "131" "122.325996398926" "No" "5" "1-8" "Both" "Unsafe" "No"
"167" "0" "83" "122.018997192383" "No" "0" "0" "Both" "Unsafe" "No"
"168" "0" "264" "57.632999420166" "Yes" "2" "1-8" "Both" "Unsafe" "No"
"169" "0" "184" "39.5960006713867" "No" "5" "1-8" "Both" "Unsafe" "No"
"170" "0" "248" "39.515998840332" "No" "0" "0" "Both" "Unsafe" "No"
"171" "0" "127" "21.5550003051758" "No" "10" "9-12" "Both" "Unsafe" "No"
"172" "0" "69" "51.7480010986328" "No" "0" "0" "Both" "Safe" "No"
"173" "1" "61" "13.5209999084473" "Yes" "5" "1-8" "Neither" "Unsafe" "No"
"174" "0" "89" "31.4540004730225" "No" "5" "1-8" "Both" "Unsafe" "No"
"175" "1" "75" "89.4309997558594" "No" "5" "1-8" "Neither" "Unsafe" "Yes"
"176" "0" "81" "19.2639999389648" "Yes" "0" "0" "Both" "Unsafe" "No"
"177" "0" "181" "53.3629989624023" "Yes" "9" "9-12" "Both" "Unsafe" "No"
"178" "0" "125" "30.128999710083" "Yes" "0" "0" "Unfrequently" "Unsafe" "No"
"179" "1" "112" "27.136999130249" "Yes" "9" "9-12" "Neither" "Unsafe" "No"
"180" "1" "71" "28.7119998931885" "Yes" "0" "0" "Neither" "Unsafe" "No"
"181" "1" "216" "20.6399993896484" "Yes" "0" "0" "Both" "Unsafe" "No"
"182" "1" "170" "36.75" "No" "5" "1-8" "Neither" "Unsafe" "No"
"183" "1" "184" "49.6800003051758" "No" "5" "1-8" "Unfrequently" "Unsafe" "No"
"184" "0" "126" "102.710998535156" "Yes" "0" "0" "Both" "Unsafe" "No"
"185" "0" "253" "108.615997314453" "Yes" "0" "0" "Both" "Unsafe" "No"
"186" "0" "295" "96.4359970092773" "No" "0" "0" "Both" "Unsafe" "No"
"187" "0" "62" "100.861000061035" "No" "0" "0" "Both" "Unsafe" "No"
"188" "1" "301" "137.899993896484" "No" "10" "9-12" "Unfrequently" "Unsafe" "No"
"189" "0" "256" "124.670997619629" "Yes" "5" "1-8" "Both" "Unsafe" "No"
"190" "1" "197" "151.065994262695" "No" "10" "9-12" "Both" "Don't Know" "Yes"
"191" "0" "120" "121.575996398926" "Yes" "5" "1-8" "Both" "Unsafe" "No"
"192" "0" "89" "32.8499984741211" "No" "0" "0" "Both" "Unsafe" "No"
"193" "0" "52" "8.54699993133545" "No" "10" "9-12" "Both" "Unsafe" "No"
"194" "1" "249" "27.9740009307861" "No" "4" "1-8" "Neither" "Unsafe" "No"
"195" "1" "125" "29.4580001831055" "No" "0" "0" "Neither" "Unsafe" "No"
"196" "0" "113" "19.6599998474121" "Yes" "5" "1-8" "Both" "Unsafe" "No"
"197" "1" "113" "47.7089996337891" "No" "12" "12+" "Neither" "Unsafe" "No"
"198" "1" "52" "71.5230026245117" "No" "10" "9-12" "Neither" "Unsafe" "No"
"199" "1" "88" "67.1760025024414" "Yes" "10" "9-12" "Unfrequently" "Unsafe" "No"
"200" "0" "348" "69.9670028686523" "No" "5" "1-8" "Both" "Unsafe" "No"
"201" "0" "56" "83.5719985961914" "No" "10" "9-12" "Unfrequently" "Unsafe" "No"
"202" "0" "135" "71.4250030517578" "No" "5" "1-8" "Both" "Unsafe" "No"
"203" "1" "167" "71.4250030517578" "No" "0" "0" "Unfrequently" "Unsafe" "No"
"204" "0" "192" "71.4250030517578" "No" "10" "9-12" "Both" "Unsafe" "No"
"205" "0" "241" "190.287994384766" "No" "7" "9-12" "Both" "Unsafe" "No"
"206" "0" "236" "186.304992675781" "No" "5" "1-8" "Both" "Unsafe" "No"
"207" "0" "241" "218.300003051758" "No" "0" "0" "Both" "Unsafe" "No"
"208" "1" "146" "53.5439987182617" "No" "14" "12+" "Neither" "Unsafe" "No"
"209" "1" "200" "63.6020011901855" "No" "0" "0" "Neither" "Unsafe" "No"
"210" "1" "132" "67.4929962158203" "No" "5" "1-8" "Both" "Safe" "Yes"
"211" "1" "175" "66.7360000610352" "No" "5" "1-8" "Neither" "Unsafe" "No"
"212" "1" "184" "47.9959983825684" "No" "0" "0" "Neither" "Unsafe" "No"
"213" "0" "172" "54.4160003662109" "No" "5" "1-8" "Both" "Unsafe" "No"
"214" "0" "177" "94.7229995727539" "No" "5" "1-8" "Both" "Unsafe" "No"
"215" "1" "277" "70.7740020751953" "No" "7" "9-12" "Unfrequently" "Unsafe" "No"
"216" "1" "73" "11.2489995956421" "Yes" "0" "0" "Neither" "Unsafe" "No"
"217" "1" "69" "4.88000011444092" "Yes" "0" "0" "Both" "Safe" "Yes"
"218" "0" "58" "18.1429996490479" "Yes" "5" "1-8" "Both" "Unsafe" "No"
"219" "1" "52" "15.7790002822876" "Yes" "12" "12+" "Both" "Safe" "Yes"
"220" "1" "62" "0.386999994516373" "Yes" "5" "1-8" "Both" "Don't Know" "Yes"
"221" "1" "333" "14.9650001525879" "Yes" "5" "1-8" "Neither" "Unsafe" "No"
"222" "0" "51" "24.6770000457764" "No" "0" "0" "Both" "Unsafe" "No"
"223" "0" "126" "17.5069999694824" "Yes" "0" "0" "Both" "Unsafe" "No"
"224" "1" "60" "22.8819999694824" "No" "5" "1-8" "Both" "Safe" "Yes"
"225" "1" "59" "6.7960000038147" "No" "5" "1-8" "Both" "Safe" "Yes"
"226" "1" "66" "8.99600028991699" "Yes" "0" "0" "Neither" "Unsafe" "No"
"227" "1" "74" "2.40899991989136" "Yes" "0" "0" "Both" "Don't Know" "Yes"
"228" "1" "71" "9.30599975585938" "Yes" "0" "0" "Both" "Don't Know" "Yes"
"229" "1" "86" "21.996000289917" "Yes" "7" "9-12" "Both" "Safe" "Yes"
"230" "0" "51" "14.0769996643066" "No" "10" "9-12" "Both" "Unsafe" "No"
"231" "1" "58" "29.6490001678467" "Yes" "5" "1-8" "Both" "Don't Know" "Yes"
"232" "0" "55" "11.3769998550415" "No" "5" "1-8" "Both" "Unsafe" "No"
"233" "1" "126" "29.5410003662109" "No" "0" "0" "Unfrequently" "Unsafe" "No"
"234" "0" "52" "33.367000579834" "No" "10" "9-12" "Both" "Unsafe" "No"
"235" "0" "83" "26.7150001525879" "No" "10" "9-12" "Both" "Unsafe" "No"
"236" "0" "57" "21.1180000305176" "No" "5" "1-8" "Both" "Safe" "No"
"237" "0" "53" "71.4820022583008" "No" "0" "0" "Both" "Unsafe" "No"
"238" "0" "67" "71.6370010375977" "Yes" "0" "0" "Both" "Safe" "No"
"239" "1" "350" "23.8309993743896" "No" "5" "1-8" "Neither" "Unsafe" "No"
"240" "1" "280" "5.72800016403198" "Yes" "12" "12+" "Neither" "Unsafe" "No"
"241" "1" "77" "15.8149995803833" "Yes" "5" "1-8" "Neither" "Unsafe" "No"
"242" "1" "74" "32.5870018005371" "Yes" "5" "1-8" "Neither" "Unsafe" "No"
"243" "1" "77" "40.1310005187988" "No" "10" "9-12" "Unfrequently" "Unsafe" "No"
"244" "1" "158" "49.6380004882812" "Yes" "2" "1-8" "Unfrequently" "Unsafe" "No"
"245" "1" "80" "24.886999130249" "No" "10" "9-12" "Neither" "Unsafe" "No"
"246" "0" "55" "47.6710014343262" "Yes" "0" "0" "Both" "Unsafe" "No"
"247" "1" "90" "56.5909996032715" "Yes" "10" "9-12" "Neither" "Unsafe" "No"
"248" "0" "52" "74.1169967651367" "No" "8" "9-12" "Both" "Safe" "No"
"249" "1" "259" "81.8489990234375" "Yes" "0" "0" "Neither" "Unsafe" "No"
"250" "1" "127" "86.0940017700195" "Yes" "8" "9-12" "Unfrequently" "Unsafe" "No"
"251" "0" "97" "71.8059997558594" "No" "14" "12+" "Both" "Unsafe" "No"
"252" "0" "147" "61.7449989318848" "Yes" "4" "1-8" "Both" "Unsafe" "No"
"253" "0" "103" "25.0450000762939" "No" "12" "12+" "Both" "Unsafe" "No"
"254" "0" "93" "19.9290008544922" "Yes" "2" "1-8" "Both" "Safe" "No"
"255" "0" "79" "50.1189994812012" "No" "10" "9-12" "Both" "Safe" "No"
"256" "0" "66" "53.8160018920898" "Yes" "5" "1-8" "Both" "Don't Know" "No"
"257" "0" "85" "33.5029983520508" "Yes" "10" "9-12" "Both" "Safe" "No"
"258" "0" "93" "58.3559989929199" "No" "5" "1-8" "Both" "Unsafe" "No"
"259" "0" "142" "17.9540004730225" "No" "12" "12+" "Both" "Unsafe" "No"
"260" "0" "75" "28.0270004272461" "No" "4" "1-8" "Drinking" "Unsafe" "No"
"261" "0" "146" "31.6679992675781" "No" "8" "9-12" "Both" "Unsafe" "No"
"262" "0" "116" "34.4370002746582" "No" "5" "1-8" "Both" "Unsafe" "No"
"263" "0" "117" "50.9519996643066" "No" "15" "12+" "Both" "Safe" "No"
"264" "1" "83" "60.7529983520508" "Yes" "0" "0" "Both" "Safe" "Yes"
"265" "1" "124" "74.8769989013672" "No" "5" "1-8" "Both" "Don't Know" "Yes"
"266" "1" "308" "57.9599990844727" "No" "5" "1-8" "Unfrequently" "Unsafe" "No"
"267" "1" "359" "61.6240005493164" "No" "0" "0" "Neither" "Unsafe" "No"
"268" "1" "196" "76.0660018920898" "No" "7" "9-12" "Unfrequently" "Don't Know" "Yes"
"269" "1" "167" "105.866996765137" "No" "5" "1-8" "Unfrequently" "Unsafe" "No"
"270" "0" "169" "112.675003051758" "No" "0" "0" "Both" "Unsafe" "No"
"271" "0" "271" "197.134994506836" "Yes" "5" "1-8" "Both" "Unsafe" "No"
"272" "0" "127" "304.096984863281" "Yes" "5" "1-8" "Both" "Unsafe" "No"
"273" "0" "143" "339.531005859375" "No" "4" "1-8" "Both" "Unsafe" "No"
"274" "0" "100" "70.2710037231445" "No" "5" "1-8" "Both" "Unsafe" "No"
"275" "0" "52" "92.7440032958984" "No" "5" "1-8" "Both" "Unsafe" "No"
"276" "0" "65" "55.9210014343262" "No" "9" "9-12" "Drinking" "Unsafe" "No"
"277" "0" "70" "50.8289985656738" "Yes" "0" "0" "Both" "Unsafe" "No"
"278" "0" "51" "37.601001739502" "No" "0" "0" "Both" "Safe" "No"
"279" "0" "102" "17.9309997558594" "No" "0" "0" "Unfrequently" "Unsafe" "No"
"280" "1" "205" "11.8170003890991" "No" "5" "1-8" "Neither" "Unsafe" "No"
"281" "1" "77" "18.7970008850098" "Yes" "0" "0" "Neither" "Unsafe" "No"
"282" "1" "120" "17.5750007629395" "No" "5" "1-8" "Neither" "Unsafe" "No"
"283" "1" "62" "22.443000793457" "No" "5" "1-8" "Both" "Safe" "Yes"
"284" "1" "131" "27.0259990692139" "Yes" "5" "1-8" "Neither" "Unsafe" "No"
"285" "1" "179" "17.1399993896484" "No" "0" "0" "Both" "Unsafe" "No"
"286" "1" "56" "25.4540004730225" "No" "0" "0" "Neither" "Unsafe" "No"
"287" "1" "77" "45.576000213623" "No" "5" "1-8" "Neither" "Unsafe" "No"
"288" "1" "66" "52.7610015869141" "No" "0" "0" "Neither" "Unsafe" "No"
"289" "1" "110" "30.5410003662109" "No" "0" "0" "Neither" "Unsafe" "No"
"290" "1" "82" "16.3990001678467" "Yes" "5" "1-8" "Neither" "Unsafe" "No"
"291" "1" "222" "29.3190002441406" "No" "5" "1-8" "Both" "Don't Know" "Yes"
"292" "1" "282" "36.0610008239746" "Yes" "0" "0" "Neither" "Unsafe" "No"
"293" "0" "64" "22.6070003509521" "No" "6" "9-12" "Both" "Unsafe" "No"
"294" "1" "126" "27.1410007476807" "Yes" "6" "9-12" "Neither" "Unsafe" "No"
"295" "1" "153" "9.44699954986572" "Yes" "5" "1-8" "Neither" "Unsafe" "No"
"296" "1" "180" "16.69700050354" "No" "0" "0" "Neither" "Don't Know" "Yes"
"297" "1" "124" "50.4770011901855" "Yes" "8" "9-12" "Neither" "Unsafe" "No"
"298" "0" "93" "9.22399997711182" "No" "5" "1-8" "Both" "Safe" "No"
"299" "1" "54" "6.93100023269653" "Yes" "6" "9-12" "Both" "Safe" "Yes"
"300" "1" "82" "27.2919998168945" "No" "5" "1-8" "Neither" "Unsafe" "No"
"301" "1" "61" "25.2950000762939" "No" "5" "1-8" "Neither" "Unsafe" "No"
"302" "0" "71" "52.7120018005371" "Yes" "5" "1-8" "Both" "Unsafe" "No"
"303" "1" "81" "51.7290000915527" "No" "4" "1-8" "Neither" "Unsafe" "No"
"304" "1" "65" "68.5719985961914" "Yes" "4" "1-8" "Both" "Don't Know" "Yes"
"305" "1" "68" "23.6790008544922" "Yes" "0" "0" "Both" "Don't Know" "Yes"
"306" "1" "126" "45.2019996643066" "Yes" "9" "9-12" "Neither" "Unsafe" "No"
"307" "1" "92" "9.16899967193604" "No" "5" "1-8" "Neither" "Unsafe" "No"
"308" "1" "125" "16.371000289917" "Yes" "0" "0" "Both" "Don't Know" "Yes"
"309" "1" "116" "19.4169998168945" "No" "5" "1-8" "Neither" "Unsafe" "No"
"310" "1" "76" "57.7929992675781" "Yes" "5" "1-8" "Neither" "Unsafe" "No"
"311" "1" "120" "43.2719993591309" "No" "10" "9-12" "Neither" "Unsafe" "No"
